Nr,Kategorie,Szene,Für,Bild-Prompt,"Video-Prompt (Image-to-Video, 5 Sek)",Format
11,Morgenroutine,Proteinshake in der Küche,Mann,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a fitted black tank top, athletic posture, focused morning energy, natural skin. [Action]: shaking a protein shaker with one hand, standing at the kitchen counter, banana and oats beside. [Environment]: modern bright kitchen, morning sun through the window, clean minimal countertop. [Cinematography]: waist-up shot, slight side angle, crisp focus, 9:16. [Lighting/Style]: fresh morning daylight, energetic disciplined mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The person shakes the bottle firmly, then sets it down and opens the lid, light steam from a coffee machine behind, static camera, realistic motion, face stays consistent and stable, no morphing.",9:16
12,Morgenroutine,Schnüren der Laufschuhe,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in black running tights and a light performance jacket, focused calm expression, natural skin. [Action]: crouching in a hallway tying the laces of running shoes, one knee on the floor. [Environment]: bright apartment hallway, front door slightly open, morning light spilling in. [Cinematography]: low angle close on the shoes and hands, person rising into frame, 9:16. [Lighting/Style]: cool early-morning light, determined start-of-day mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The hands finish tying the laces, the person stands up and exhales, light shifting through the open door, slow tilt up, natural motion, face stays consistent and stable, no morphing.",9:16
13,Morgenroutine,Balkon-Dehnung,Frau,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a sage green yoga set, hair in a loose bun, peaceful expression with closed eyes, natural skin. [Action]: standing on a balcony stretching arms overhead, palms together, chest open. [Environment]: small city balcony with plants, rooftops and soft haze in the background. [Cinematography]: three-quarter shot, eye level, background softly blurred, 9:16. [Lighting/Style]: pastel sunrise sky, serene fresh-air mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The person breathes visibly and lowers the arms slowly, plants moving gently in the breeze, soft haze drifting, slow push-in, calm motion, face stays consistent and stable, no morphing.",9:16
14,Morgenroutine,Smoothie-Bowl anrichten,Frau,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a white linen shirt with sleeves rolled up, fresh natural look, light smile, natural skin. [Action]: sprinkling berries over a colorful smoothie bowl, hands in frame, focused on the food. [Environment]: bright kitchen counter with fruit, chia seeds and a small flower vase. [Cinematography]: top-down to 45-degree angle on the bowl, hands and bowl sharp, 9:16. [Lighting/Style]: clean bright daylight, fresh healthy mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","Berries drop onto the bowl one by one, the person rotates the bowl slightly, a spoon enters the frame, static camera, appetizing realistic motion, face stays consistent and stable, no morphing.",9:16
15,Morgenroutine,Zeitung & Espresso,Mann,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a navy polo shirt, relaxed confident expression, freshly groomed look, natural skin. [Action]: sitting at a small table reading a folded newspaper, espresso cup within reach. [Environment]: sunlit balcony of an old-town apartment, wrought-iron railing, terracotta rooftops behind. [Cinematography]: three-quarter shot, slight side angle, 50mm look, 9:16. [Lighting/Style]: warm Mediterranean morning light, unhurried classic mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The person turns a page calmly and reaches for the espresso, steam rising, curtains fluttering slightly inside, static camera, relaxed motion, face stays consistent and stable, no morphing.",9:16
16,Morgenroutine,Spiegel-Nicken vor dem Tag,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a clean white t-shirt, confident calm expression, natural skin. [Action]: standing in front of a bathroom mirror, giving a short affirming nod to the reflection. [Environment]: bright minimal bathroom, toothbrush cup and small plant by the sink. [Cinematography]: over-the-shoulder mirror shot, reflection sharp, 9:16. [Lighting/Style]: neutral fresh daylight, quiet confidence mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The person looks into the mirror, nods once slowly and straightens the shoulders, light flickering softly, static camera, subtle motion, face stays consistent and stable, no morphing.",9:16
17,Fitness & Gym,Kreidehände am Rack,Mann,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a sleeveless black training shirt, focused intense expression, taped wrists, natural skin. [Action]: clapping chalk off the hands in front of a barbell rack, chalk dust in the air. [Environment]: industrial gym with dark equipment, plates stacked, moody depth behind. [Cinematography]: chest-up shot, slight low angle, chalk dust catching the light, 9:16. [Lighting/Style]: dramatic side lighting with cool tones, gritty focused mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","Chalk dust drifts through the light as the person rubs the hands together and grips the bar, slow push-in, controlled realistic motion, face stays consistent and stable, no morphing.",9:16
18,Fitness & Gym,Yoga-Flow im Studio,Frau,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a matching terracotta yoga set, hair in a high ponytail, serene focused expression, natural skin. [Action]: holding a warrior II pose on a cork mat, arms extended, gaze along the front hand. [Environment]: bright minimalist yoga studio, wooden floor, large windows with soft daylight. [Cinematography]: full-body side shot, eye level, clean composition, 9:16. [Lighting/Style]: soft diffused daylight, calm strong mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The person holds the pose with steady breathing, shifting slowly into the next posture, dust particles floating in the window light, static camera, fluid motion, face stays consistent and stable, no morphing.",9:16
19,Fitness & Gym,Seilspringen Outdoor,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a grey hoodie and black shorts, light sweat, focused athletic expression, natural skin. [Action]: jumping rope on a rooftop court, rope blurred mid-swing, light on the toes. [Environment]: urban rooftop sports court, skyline and fence in the background, morning haze. [Cinematography]: full-body shot, slight low angle, rope motion blur, 9:16. [Lighting/Style]: cool morning light, energetic disciplined mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The rope whips rhythmically as the person jumps with light quick steps, breath visible in the cool air, static camera, dynamic realistic motion, face stays consistent and stable, no morphing.",9:16
20,Fitness & Gym,Wasserpause auf der Bank,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a sweat-darkened athletic shirt, exhausted satisfied expression, towel around the neck, natural skin. [Action]: sitting on a gym bench drinking from a steel water bottle, elbows on knees. [Environment]: free-weight area softly blurred behind, dumbbells racked in rows. [Cinematography]: chest-up shot, eye level, shallow depth of field, 9:16. [Lighting/Style]: neutral gym lighting with a warm accent, honest post-workout mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The person drinks, lowers the bottle and exhales deeply, chest rising, a drop of sweat running, static camera, natural motion, face stays consistent and stable, no morphing.",9:16
21,Fitness & Gym,Boxsack-Session,Mann,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in black boxing wraps and a dark tank top, intense concentrated expression, natural skin. [Action]: landing a controlled punch on a heavy bag, body rotated into the hit. [Environment]: dim boxing gym, chains from the ceiling, dust in the backlight. [Cinematography]: three-quarter shot, dramatic backlight silhouette edge, 9:16. [Lighting/Style]: hard backlight with haze, cinematic fight-camp mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The bag swings from the impact as the person resets the stance and breathes sharply, chains swaying, dust drifting in the light, static camera, powerful controlled motion, face stays consistent and stable, no morphing.",9:16
22,Fitness & Gym,Laufband am Fenster,Frau,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a lilac sports bra and black leggings, steady focused expression, ponytail mid-swing, natural skin. [Action]: running on a treadmill facing a floor-to-ceiling window, mid-stride. [Environment]: modern gym above the city, skyline view through the glass, soft reflections. [Cinematography]: side profile full-body shot, window light wrapping the scene, 9:16. [Lighting/Style]: bright daylight with soft reflections, motivated steady mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The ponytail swings with each stride, city light shimmering through the glass, steady running rhythm, static camera, smooth realistic motion, face stays consistent and stable, no morphing.",9:16
23,Fitness & Gym,Kettlebell-Setup,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a plain dark training outfit, focused pre-lift expression, natural skin. [Action]: gripping a kettlebell on the floor with both hands, hips back, ready to lift. [Environment]: functional training area, rubber floor, ropes and rings softly blurred. [Cinematography]: low front angle, hands and kettlebell sharp in the foreground, 9:16. [Lighting/Style]: cool even training light, tense focused mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The grip tightens, the person pulls the kettlebell up in one controlled motion, chalk dust puffing lightly, slow push-in, strong realistic motion, face stays consistent and stable, no morphing.",9:16
24,Fitness & Gym,Dehnen nach dem Lauf,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in running gear with a light windbreaker tied around the waist, relaxed tired smile, natural skin. [Action]: stretching one leg on a park bench, leaning towards the toes. [Environment]: green park in the early morning, path and trees softly blurred, a runner passing far behind. [Cinematography]: three-quarter shot, eye level, natural framing, 9:16. [Lighting/Style]: fresh morning light through leaves, healthy balanced mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The person deepens the stretch slightly and relaxes, leaves moving in the breeze, a jogger passing blurred in the distance, static camera, calm motion, face stays consistent and stable, no morphing.",9:16
25,Fitness & Gym,Umkleide-Fokus,Mann,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a zipped track jacket, hood down, calm determined expression, natural skin. [Action]: sitting on a locker-room bench, forearms on knees, gaze down in concentration. [Environment]: clean locker room, metal lockers, a gym bag beside the bench. [Cinematography]: frontal chest-up shot, slightly below eye level, 9:16. [Lighting/Style]: cool overhead light with soft falloff, pre-game focus mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The person slowly lifts the gaze towards the camera and exhales, jacket fabric shifting subtly, slow push-in, quiet intense motion, face stays consistent and stable, no morphing.",9:16
26,Fitness & Gym,Pilates-Reformer,Frau,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in an elegant black one-piece training suit, controlled calm expression, natural skin. [Action]: mid-movement on a pilates reformer, legs extended, core engaged. [Environment]: bright boutique studio, light wood, soft shadows, minimal decor. [Cinematography]: full-body side shot, clean lines, shallow depth of field, 9:16. [Lighting/Style]: soft even daylight, precise premium mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The carriage glides slowly as the person completes the movement with control, springs flexing subtly, static camera, smooth precise motion, face stays consistent and stable, no morphing.",9:16
27,Business & Office,Laptop im Loft-Büro,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a crisp white shirt with rolled sleeves, focused engaged expression, natural skin. [Action]: typing on a laptop at a large wooden desk, second monitor glowing beside. [Environment]: industrial loft office, brick wall, plants and notebooks, daylight from tall windows. [Cinematography]: three-quarter side shot, eye level, shallow depth of field, 9:16. [Lighting/Style]: bright natural daylight, productive calm mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The person types steadily and glances at the second screen, cursor light flickering subtly, plant leaves moving faintly, slow push-in, focused motion, face stays consistent and stable, no morphing.",9:16
28,Business & Office,Anzug & Espresso to go,Mann,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a tailored navy suit with open collar, confident relaxed expression, natural skin. [Action]: walking along a downtown sidewalk holding a paper espresso cup, jacket moving with the step. [Environment]: financial district street, glass facades, blurred pedestrians and taxis. [Cinematography]: three-quarter tracking framing, slight low angle, 9:16. [Lighting/Style]: morning sun between buildings, ambitious city mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The person walks towards the camera with a steady pace, jacket and tie moving slightly, traffic gliding blurred behind, slow pull-back, confident motion, face stays consistent and stable, no morphing.",9:16
29,Business & Office,Whiteboard-Pitch,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a smart casual knit blazer, animated engaged expression, natural skin. [Action]: sketching a rising chart on a whiteboard with a marker, mid-gesture towards the graph. [Environment]: modern meeting room, glass walls, two colleagues blurred in the foreground. [Cinematography]: over-the-shoulder of the audience, presenter sharp, 9:16. [Lighting/Style]: bright office light, energetic collaborative mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The marker draws a confident upward line, the person turns towards the audience and gestures, colleagues nodding blurred, static camera, lively motion, face stays consistent and stable, no morphing.",9:16
30,Business & Office,Fensterblick im Hochhaus,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a dark turtleneck, thoughtful calm expression, arms loosely crossed, natural skin. [Action]: standing at a floor-to-ceiling office window, looking down over the city. [Environment]: high-rise office at dusk, city lights beginning to glow far below. [Cinematography]: silhouette-leaning three-quarter shot against the window, 9:16. [Lighting/Style]: blue-hour light with warm interior accents, visionary quiet mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","City lights twinkle below as the person shifts weight slightly and keeps gazing out, faint reflections moving in the glass, slow push-in, contemplative motion, face stays consistent and stable, no morphing.",9:16
31,Business & Office,Notizen im Café-Meeting,Frau,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a beige blazer over a white top, attentive friendly expression, hair tucked behind one ear, natural skin. [Action]: writing notes in a leather notebook next to an open laptop and a cappuccino. [Environment]: stylish café corner, warm wood, soft chatter atmosphere blurred behind. [Cinematography]: table-level three-quarter shot, notebook and hands sharp, 9:16. [Lighting/Style]: warm café light with window daylight mix, professional approachable mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The pen notes quick points, the person looks up briefly and smiles, steam curling from the cappuccino, static camera, natural motion, face stays consistent and stable, no morphing.",9:16
32,Business & Office,Videocall-Setup,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a smart casual shirt, friendly engaged expression, headphones on, natural skin. [Action]: waving briefly into the webcam at the start of a video call, other hand on the desk. [Environment]: tidy home office, ring light glow, bookshelf and plant behind. [Cinematography]: webcam POV, eye level, slight wide look, 9:16. [Lighting/Style]: even flattering key light, professional friendly mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The person waves briefly, then leans in slightly and starts speaking silently with natural gestures, mouth movements subtle, static camera, authentic motion, face stays consistent and stable, no morphing.",9:16
33,Business & Office,Vertragsunterschrift,Mann,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a charcoal suit, composed confident expression, watch visible at the wrist, natural skin. [Action]: signing a document with a fountain pen at a polished conference table. [Environment]: elegant conference room, leather folder, a second folder and glass of water beside. [Cinematography]: close-up on hands and pen, face softly visible above, 9:16. [Lighting/Style]: warm executive lighting, decisive premium mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The pen glides through the signature, the person sets it down and leans back slightly, paper settling, slow tilt up to the face, composed motion, face stays consistent and stable, no morphing.",9:16
34,Business & Office,Skizzen am Tablet,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a black crew-neck sweater, creative focused expression, stylus in hand, natural skin. [Action]: drawing a layout on a tablet with a stylus, screen glow on the hands. [Environment]: designer workspace with moodboard wall, dual monitors dimmed, desk lamp. [Cinematography]: over-the-shoulder onto the tablet, screen content softly abstract, 9:16. [Lighting/Style]: warm desk lamp with cool screen glow contrast, maker late-focus mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The stylus sketches smooth lines, the person zooms with two fingers and continues, screen light flickering subtly, static camera, precise motion, face stays consistent and stable, no morphing.",9:16
35,Business & Office,Aufzug-Moment,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a long camel coat over business wear, calm self-assured expression, natural skin. [Action]: standing in a glass elevator, one hand in the coat pocket, watching the floors pass. [Environment]: glass elevator moving up an atrium, floors and lights gliding past behind. [Cinematography]: frontal chest-up shot, reflections layered in the glass, 9:16. [Lighting/Style]: cool atrium light with moving highlights, upward-momentum mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","Lights and floors glide downward behind the person as the elevator rises, subtle reflections sweeping across the glass, static camera, smooth motion, face stays consistent and stable, no morphing.",9:16
36,Business & Office,Feierabend-Blick vom Balkon,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in an unbuttoned shirt collar with loosened tie, relieved satisfied expression, natural skin. [Action]: leaning on an office balcony railing, tie loosened, city below in evening light. [Environment]: office tower balcony, golden city panorama, faint traffic glow. [Cinematography]: three-quarter shot from the side, skyline stretching behind, 9:16. [Lighting/Style]: golden-hour city light, earned-rest mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The tie flutters slightly in the wind as the person exhales and looks over the city, traffic lights pulsing far below, slow gentle orbit, calm motion, face stays consistent and stable, no morphing.",9:16
37,Reise & Strand,Koffer durchs Terminal,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a relaxed beige travel set with white sneakers, excited calm expression, natural skin. [Action]: pulling a carry-on suitcase through an airport terminal, boarding pass in the free hand. [Environment]: modern airport with glass roof, departure boards and travelers blurred. [Cinematography]: full-body tracking framing, slight front angle, 9:16. [Lighting/Style]: bright terminal daylight, adventure-begins mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The suitcase rolls smoothly as the person walks towards the camera, travelers drifting blurred behind, boards flickering softly, slow pull-back, anticipatory motion, face stays consistent and stable, no morphing.",9:16
38,Reise & Strand,Fensterplatz über den Wolken,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a comfy hoodie, dreamy content expression, headphones around the neck, natural skin. [Action]: leaning towards the airplane window, one hand on the frame, gazing at the clouds. [Environment]: airplane cabin window seat, sea of clouds in golden light outside. [Cinematography]: close side shot, window light on the face, 9:16. [Lighting/Style]: golden high-altitude sun, wanderlust mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","Clouds drift slowly past the window, light moving across the face, the person leans a little closer, static camera, serene motion, face stays consistent and stable, no morphing.",9:16
39,Reise & Strand,Roller an der Küstenstraße,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a light linen shirt and sunglasses, free joyful expression, helmet on, natural skin. [Action]: sitting on a parked vintage scooter at a coastal viewpoint, hands on the handlebar. [Environment]: cliff road above a turquoise bay, winding coastline stretching behind. [Cinematography]: three-quarter shot, low angle with the bay behind, 9:16. [Lighting/Style]: clear midday Mediterranean light, freedom road-trip mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","Wind moves the shirt collar as the person turns the head towards the bay and back to the camera, sea glittering, slow push-in, easy motion, face stays consistent and stable, no morphing.",9:16
40,Reise & Strand,Hängematte zwischen Palmen,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in casual beachwear with a straw hat on the chest, blissful relaxed expression, natural skin. [Action]: lying in a woven hammock, one foot lightly touching the sand, arms behind the head. [Environment]: two palm trees on a white beach, turquoise water and a longtail boat far behind. [Cinematography]: side full-body shot, hammock arcing through frame, 9:16. [Lighting/Style]: soft tropical afternoon light, total unwind mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The hammock sways gently, palm shadows moving across the sand, the person lets one arm hang loose, static camera, peaceful motion, face stays consistent and stable, no morphing.",9:16
41,Reise & Strand,Surfboard-Walk,Mann,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in colorful boardshorts with a surfboard under the arm, salt-wet skin, stoked smile, natural skin. [Action]: walking out of the shallow water carrying a surfboard, droplets flying with each step. [Environment]: wide beach with rolling waves, surf spray in the backlight. [Cinematography]: full-body frontal shot, slight low angle, backlit spray, 9:16. [Lighting/Style]: late-afternoon backlight with glowing spray, surf lifestyle mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","Water splashes with each step as the person walks towards the camera, drops flying off the board, waves breaking behind, slow pull-back, energetic motion, face stays consistent and stable, no morphing.",9:16
